epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1595,4.98263,3.89975,5.58576,0.00049,0.00936,0.00096,0.00028,6.40946,2.66306,6.93365,0.00046,0.00046,0.00046
2,65.2718,4.51562,1.97607,4.66493,0.01701,0.07353,0.01712,0.00345,5.00498,3.03935,5.72356,0.00090898,0.00090898,0.00090898
3,96.3421,2.80998,1.60052,2.78058,0.51558,0.49733,0.44016,0.1406,2.53241,1.48297,2.98163,0.00132628,0.00132628,0.00132628
4,127.265,2.7757,1.57974,2.74086,0.3481,0.51683,0.31083,0.08747,2.37066,1.85582,3.07644,0.0017119,0.0017119,0.0017119
5,157.976,2.71928,1.52694,2.64362,0.34035,0.59759,0.34148,0.09464,2.51813,1.6842,3.15174,0.001736,0.001736,0.001736
6,188.615,2.65362,1.43252,2.57503,0.21723,0.27273,0.14545,0.02992,3.25563,2.67306,3.25128,0.00167,0.00167,0.00167
7,219.384,2.54539,1.4281,2.53454,0.18922,0.41176,0.162,0.03804,2.66673,4.12198,2.82864,0.001604,0.001604,0.001604
8,250.471,2.52434,1.39528,2.45952,0.32122,0.58021,0.29412,0.0612,3.07599,1.69611,3.13871,0.001538,0.001538,0.001538
9,281.347,2.44213,1.37613,2.43359,0.4333,0.75134,0.4533,0.1459,2.33757,1.36884,2.6192,0.001472,0.001472,0.001472
10,312.898,2.445,1.34833,2.44243,0.39515,0.62968,0.39045,0.12322,2.32235,1.58217,3.31342,0.001406,0.001406,0.001406
11,344.014,2.37645,1.30103,2.39146,0.55695,0.75267,0.63212,0.23012,2.12459,1.23445,2.59204,0.00134,0.00134,0.00134
12,375.005,2.41187,1.26055,2.33509,0.51956,0.68717,0.57218,0.2018,2.19711,1.35589,3.26072,0.001274,0.001274,0.001274
13,405.831,2.33447,1.25632,2.39659,0.43433,0.77273,0.5021,0.18285,2.21022,1.22831,2.53887,0.001208,0.001208,0.001208
14,436.622,2.39769,1.23636,2.33386,0.49834,0.72378,0.58702,0.17915,2.47261,1.31602,2.63687,0.001142,0.001142,0.001142
15,467.643,2.33042,1.25734,2.35816,0.51109,0.68583,0.61121,0.23502,2.20128,1.24191,3.09812,0.001076,0.001076,0.001076
16,498.5,2.35509,1.21593,2.3414,0.50062,0.6393,0.54601,0.21755,2.16626,1.21614,2.9979,0.00101,0.00101,0.00101
17,529.435,2.2864,1.23033,2.2585,0.57667,0.63904,0.64234,0.24717,2.1275,1.19619,2.47631,0.000944,0.000944,0.000944
18,562.08,2.38311,1.21953,2.39466,0.49113,0.6992,0.59264,0.23981,1.99067,1.31159,2.55478,0.000878,0.000878,0.000878
19,593.681,2.30237,1.23439,2.29949,0.57228,0.66711,0.6513,0.24312,2.26058,1.25111,3.67261,0.000812,0.000812,0.000812
20,626.052,2.33771,1.19912,2.33709,0.61329,0.67781,0.66785,0.26013,2.04476,1.1991,2.52129,0.000746,0.000746,0.000746
21,657.666,2.2272,1.17829,2.32477,0.51019,0.67112,0.55765,0.22144,2.13105,1.26324,2.52514,0.00068,0.00068,0.00068
22,689.07,2.26795,1.1705,2.2363,0.59179,0.68182,0.64747,0.25988,2.02634,1.1847,2.47528,0.000614,0.000614,0.000614
23,721.044,2.23148,1.16717,2.24336,0.62104,0.68048,0.69167,0.27849,2.01779,1.17244,2.40281,0.000548,0.000548,0.000548
24,753.16,2.23492,1.14517,2.16255,0.65258,0.68304,0.72221,0.29476,1.99329,1.17266,2.44582,0.000482,0.000482,0.000482
25,784.577,2.21801,1.13748,2.13065,0.61433,0.6921,0.71226,0.28678,1.99927,1.1318,2.39632,0.000416,0.000416,0.000416
26,816.366,2.19882,1.14588,2.1986,0.65,0.64973,0.70512,0.2973,1.9713,1.11047,2.47411,0.00035,0.00035,0.00035
27,848.553,2.15473,1.14013,2.1955,0.68253,0.67781,0.73575,0.30493,1.97212,1.12601,2.44151,0.000284,0.000284,0.000284
28,879.88,2.14553,1.12484,2.14071,0.63639,0.70663,0.71673,0.30086,1.96763,1.10277,2.42247,0.000218,0.000218,0.000218
29,913.344,2.15637,1.12815,2.15379,0.61897,0.70455,0.69061,0.29845,1.9302,1.07206,2.45158,0.000152,0.000152,0.000152
30,946.295,2.1748,1.10881,2.13362,0.63561,0.71925,0.72738,0.31396,1.93373,1.08564,2.40887,8.6e-05,8.6e-05,8.6e-05
