epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3294,2.7793,1.49461,1.63643,0.34415,0.48897,0.29728,0.04875,2.54821,80.739,0.80875,0.000654545,0.000654545,0.000654545
2,186.425,2.85103,1.51335,1.73288,0.3588,0.64368,0.34785,0.05914,2.48781,2.26956,0.68044,0.00127761,0.00127761,0.00127761
3,315.278,2.76221,1.49623,1.71504,0.26254,0.60016,0.24482,0.03866,2.53439,1.40903,0.73251,0.00185668,0.00185668,0.00185668
4,394.539,2.68436,1.47488,1.59214,0.41883,0.64614,0.42318,0.07011,2.41277,10.9053,0.71061,0.001802,0.001802,0.001802
5,508.527,2.68698,1.50216,1.64945,0.33786,0.65928,0.34599,0.05959,2.45092,2.27738,0.64765,0.001736,0.001736,0.001736
6,608.427,2.68996,1.48044,1.65672,0.35105,0.7225,0.38518,0.06664,2.40266,1.93973,0.65426,0.00167,0.00167,0.00167
7,681.778,2.64363,1.44612,1.58375,0.40448,0.68555,0.43148,0.0757,2.41584,4.42724,0.68632,0.001604,0.001604,0.001604
8,754.658,2.66923,1.48798,1.60448,0.34958,0.73427,0.41685,0.07207,2.38047,2.52014,0.57906,0.001538,0.001538,0.001538
9,827.027,2.6055,1.41802,1.56528,0.3543,0.6913,0.38719,0.06715,2.41056,2.02088,0.64739,0.001472,0.001472,0.001472
10,899.447,2.61247,1.4524,1.55899,0.37094,0.69704,0.39276,0.06116,2.43942,2.55708,0.6534,0.001406,0.001406,0.001406
11,971.851,2.69036,1.39929,1.51948,0.35249,0.77454,0.42913,0.07384,2.39304,3.24892,0.59886,0.00134,0.00134,0.00134
12,1044.63,2.60534,1.38469,1.4924,0.32973,0.76765,0.38117,0.06265,2.40034,1.14605,0.59111,0.001274,0.001274,0.001274
13,1116.9,2.54818,1.35471,1.53604,0.35279,0.73727,0.38997,0.06181,2.41175,5.70256,0.60804,0.001208,0.001208,0.001208
14,1189.16,2.53302,1.34614,1.48194,0.36805,0.78736,0.42296,0.06969,2.38827,2.80781,0.63064,0.001142,0.001142,0.001142
15,1271.55,2.58531,1.33481,1.39824,0.38254,0.7619,0.42203,0.07271,2.37583,4.11744,0.636,0.001076,0.001076,0.001076
16,1344.08,2.63946,1.33485,1.38696,0.37318,0.76273,0.43333,0.07982,2.35011,1.5215,0.61522,0.00101,0.00101,0.00101
17,1416.85,2.54311,1.28435,1.41206,0.35268,0.77176,0.4071,0.06584,2.38625,12.7958,0.59627,0.000944,0.000944,0.000944
18,1488.6,2.57538,1.28268,1.39461,0.37593,0.69294,0.39357,0.0636,2.37583,24.5807,0.61001,0.000878,0.000878,0.000878
19,1570.24,2.58474,1.27887,1.37562,0.38412,0.73892,0.44693,0.07621,2.39837,1.93011,0.59156,0.000812,0.000812,0.000812
20,1642.04,2.50372,1.28151,1.3958,0.39801,0.70936,0.42796,0.06983,2.40247,1.22926,0.60631,0.000746,0.000746,0.000746
21,1714.43,2.62106,1.17115,1.25535,0.38001,0.7734,0.43572,0.07913,2.37375,1.26788,0.57761,0.00068,0.00068,0.00068
22,1785.99,2.68525,1.14019,1.21309,0.39122,0.76273,0.46061,0.08772,2.38049,0.87425,0.59389,0.000614,0.000614,0.000614
23,1860.62,2.60026,1.13747,1.20731,0.3604,0.79475,0.45422,0.079,2.36716,0.88298,0.57676,0.000548,0.000548,0.000548
24,1931.81,2.69042,1.1218,1.18051,0.40029,0.77997,0.47811,0.08582,2.38917,0.92559,0.63237,0.000482,0.000482,0.000482
25,2003.06,2.61808,1.12244,1.21847,0.39362,0.79036,0.47058,0.08254,2.37438,0.84923,0.59287,0.000416,0.000416,0.000416
26,2075,2.64608,1.14257,1.14285,0.39048,0.78818,0.42645,0.07486,2.38092,0.9362,0.5646,0.00035,0.00035,0.00035
27,2150.04,2.61195,1.1382,1.21526,0.4217,0.77176,0.50114,0.09054,2.37169,0.84977,0.5828,0.000284,0.000284,0.000284
28,2221.67,2.58362,1.12505,1.17398,0.40194,0.789,0.48635,0.08586,2.36023,0.92091,0.57454,0.000218,0.000218,0.000218
29,2293.15,2.58742,1.12435,1.16379,0.3991,0.77668,0.47919,0.08386,2.35771,0.86883,0.55617,0.000152,0.000152,0.000152
30,2364.6,2.60207,1.13088,1.15388,0.39438,0.77525,0.46106,0.08566,2.35465,0.88486,0.56136,8.6e-05,8.6e-05,8.6e-05
